# filename,pc1,pc2,cluster
2158_embedding.pt,0.3430849313735962,0.11702562123537064,0
1653_embedding.pt,-0.454554945230484,0.17150470614433289,2
2226_embedding.pt,-0.130804643034935,-0.08394084125757217,1
1755_embedding.pt,0.3300279974937439,-0.06913161277770996,0
2212_embedding.pt,0.2516942620277405,0.055585362017154694,0
2193_embedding.pt,-0.09981859475374222,0.00148359639570117,1
2046_embedding.pt,0.2563168406486511,0.1828618347644806,0
1608_embedding.pt,-0.27012181282043457,-0.07172863185405731,1
1939_embedding.pt,-0.2651454508304596,-0.20255684852600098,1
1986_embedding.pt,-0.02627125382423401,-0.20245243608951569,1
2055_embedding.pt,0.208272323012352,-0.21286959946155548,0
2143_embedding.pt,0.31848227977752686,0.09296838194131851,0
2110_embedding.pt,-0.18837353587150574,-0.17927464842796326,1
1528_embedding.pt,0.1998424381017685,0.12457466125488281,0
1929_embedding.pt,-0.4342939257621765,0.152811661362648,2
2006_embedding.pt,0.2026129812002182,-0.1158493384718895,0
1831_embedding.pt,-0.44830086827278137,0.2791348993778229,2
1588_embedding.pt,0.25544118881225586,0.0725308433175087,0
1951_embedding.pt,-0.4107787013053894,0.178897887468338,2
2094_embedding.pt,0.24685706198215485,0.03607269376516342,0
1530_embedding.pt,0.1792583465576172,0.17167574167251587,0
1992_embedding.pt,0.12595996260643005,-0.11215339601039886,0
1611_embedding.pt,-0.12643584609031677,-0.12030471116304398,1
1926_embedding.pt,0.13724049925804138,-0.17073044180870056,0
2140_embedding.pt,0.16181761026382446,-0.08695638924837112,0
1997_embedding.pt,-0.22384777665138245,-0.07439932227134705,1
1989_embedding.pt,0.09503612667322159,-0.07110964506864548,0
1624_embedding.pt,-0.30733999609947205,-0.18856604397296906,1
2025_embedding.pt,0.1964079737663269,-0.06970574706792831,0
1658_embedding.pt,-0.2579755187034607,0.03847638890147209,1
2222_embedding.pt,-0.42044222354888916,0.10103921592235565,2
1942_embedding.pt,0.1456262618303299,-0.19851025938987732,0
1625_embedding.pt,0.20065033435821533,-0.003067796817049384,0
1587_embedding.pt,-0.4465410113334656,0.2546524703502655,2
1984_embedding.pt,-0.0723489373922348,-0.23835285007953644,1
1794_embedding.pt,-0.27364012598991394,-0.17413856089115143,1
1867_embedding.pt,0.16531720757484436,-0.23051060736179352,0
1592_embedding.pt,-0.4311509430408478,0.2345443218946457,2
1812_embedding.pt,0.24446704983711243,-0.07245165854692459,0
1623_embedding.pt,-0.27080658078193665,-0.09729600697755814,1
2146_embedding.pt,0.2618371546268463,0.13740864396095276,0
1947_embedding.pt,0.16359123587608337,-0.18855401873588562,0
1907_embedding.pt,-0.22002603113651276,-0.052855394780635834,1
2041_embedding.pt,0.16249722242355347,0.08854494988918304,0
2058_embedding.pt,0.31320881843566895,-0.0919918492436409,0
2089_embedding.pt,0.3188745081424713,0.11197524517774582,0
1547_embedding.pt,-0.39599281549453735,0.22830602526664734,2
1889_embedding.pt,0.194937065243721,0.030087793245911598,0
